postal_code,locality,municipality_code,municipality_name,county_code,county_name
18696,Vallentuna,,,,"Stockholms län"
18697,Brottby,,,,"Stockholms län"
13025,Ingmarsö,,,,"Stockholms län"
18400,Åkersberga,,,,"Stockholms län"
18403,Ljusterö,,,,"Stockholms län"
18410,Åkersberga,,,,"Stockholms län"
18421,Åkersberga,,,,"Stockholms län"
18422,Åkersberga,,,,"Stockholms län"
18423,Åkersberga,,,,"Stockholms län"
18424,Åkersberga,,,,"Stockholms län"
18425,Åkersberga,,,,"Stockholms län"
18426,Åkersberga,,,,"Stockholms län"
18427,Åkersberga,,,,"Stockholms län"
18428,Åkersberga,,,,"Stockholms län"
18430,Åkersberga,,,,"Stockholms län"
18431,Åkersberga,,,,"Stockholms län"
18432,Åkersberga,,,,"Stockholms län"
18433,Åkersberga,,,,"Stockholms län"
18434,Åkersberga,,,,"Stockholms län"
18435,Åkersberga,,,,"Stockholms län"
18436,Åkersberga,,,,"Stockholms län"
18437,Åkersberga,,,,"Stockholms län"
18438,Åkersberga,,,,"Stockholms län"
18439,Åkersberga,,,,"Stockholms län"
18440,Åkersberga,,,,"Stockholms län"
18441,Åkersberga,,,,"Stockholms län"
18442,Åkersberga,,,,"Stockholms län"
18443,Åkersberga,,,,"Stockholms län"
18444,Åkersberga,,,,"Stockholms län"
18450,Åkersberga,,,,"Stockholms län"
18451,Österskär,,,,"Stockholms län"
18452,Österskär,,,,"Stockholms län"
18453,Åkersberga,,,,"Stockholms län"
18460,Åkersberga,,,,"Stockholms län"
18461,Åkersberga,,,,"Stockholms län"
18462,Åkersberga,,,,"Stockholms län"
18463,Åkersberga,,,,"Stockholms län"
18464,Åkersberga,,,,"Stockholms län"
18470,Åkersberga,,,,"Stockholms län"
18480,Åkersberga,,,,"Stockholms län"
18485,Åkersberga,,,,"Stockholms län"
18486,Åkersberga,,,,"Stockholms län"
18491,Åkersberga,,,,"Stockholms län"
18492,Åkersberga,,,,"Stockholms län"
18493,Åkersberga,,,,"Stockholms län"
18494,Åkersberga,,,,"Stockholms län"
18495,Ljusterö,,,,"Stockholms län"
18496,Åkersberga,,,,"Stockholms län"
18497,Ljusterö,,,,"Stockholms län"
18499,Husarö,,,,"Stockholms län"
13033,Gällnöby,,,,"Stockholms län"
13034,Skälvik,,,,"Stockholms län"
13036,Nämdö,,,,"Stockholms län"
13037,Stavsnäs,,,,"Stockholms län"
13038,Runmarö,,,,"Stockholms län"
13039,Sandhamn,,,,"Stockholms län"
13040,Djurhamn,,,,"Stockholms län"
13041,"Sollenkroka Ö",,,,"Stockholms län"
13042,Stavsudda,,,,"Stockholms län"
13043,Möja,,,,"Stockholms län"
13044,Harö,,,,"Stockholms län"
13045,Gränö,,,,"Stockholms län"
13400,Gustavsberg,,,,"Stockholms län"
13401,Gustavsberg,,,,"Stockholms län"
13406,Ingarö,,,,"Stockholms län"
13407,Ingarö,,,,"Stockholms län"
13408,Ingarö,,,,"Stockholms län"
13421,Gustavsberg,,,,"Stockholms län"
13422,Gustavsberg,,,,"Stockholms län"
13423,Gustavsberg,,,,"Stockholms län"
13424,Gustavsberg,,,,"Stockholms län"
13425,Gustavsberg,,,,"Stockholms län"
13426,Gustavsberg,,,,"Stockholms län"
13427,Gustavsberg,,,,"Stockholms län"
13428,Gustavsberg,,,,"Stockholms län"
13429,Gustavsberg,,,,"Stockholms län"
13430,Gustavsberg,,,,"Stockholms län"
13431,Gustavsberg,,,,"Stockholms län"
13433,Gustavsberg,,,,"Stockholms län"
13434,Gustavsberg,,,,"Stockholms län"
13435,Gustavsberg,,,,"Stockholms län"
13436,Gustavsberg,,,,"Stockholms län"
13437,Gustavsberg,,,,"Stockholms län"
13438,Gustavsberg,,,,"Stockholms län"
13440,Gustavsberg,,,,"Stockholms län"
13441,Gustavsberg,,,,"Stockholms län"
13442,Gustavsberg,,,,"Stockholms län"
13443,Gustavsberg,,,,"Stockholms län"
13444,Gustavsberg,,,,"Stockholms län"
13450,Gustavsberg,,,,"Stockholms län"
13451,Gustavsberg,,,,"Stockholms län"
13452,Gustavsberg,,,,"Stockholms län"
13453,Gustavsberg,,,,"Stockholms län"
13460,Ingarö,,,,"Stockholms län"
13461,Ingarö,,,,"Stockholms län"
13462,Ingarö,,,,"Stockholms län"
13463,Ingarö,,,,"Stockholms län"
13464,Ingarö,,,,"Stockholms län"
13465,Ingarö,,,,"Stockholms län"
13466,Ingarö,,,,"Stockholms län"
13467,Ingarö,,,,"Stockholms län"
13469,Ingarö,,,,"Stockholms län"
13481,Gustavsberg,,,,"Stockholms län"
13482,Gustavsberg,,,,"Stockholms län"
13492,Tynningö,,,,"Stockholms län"
13901,Värmdö,,,,"Stockholms län"
13902,Djurhamn,,,,"Stockholms län"
13903,Stavsnäs,,,,"Stockholms län"
13921,Värmdö,,,,"Stockholms län"
13922,Värmdö,,,,"Stockholms län"
13923,Värmdö,,,,"Stockholms län"
13924,Värmdö,,,,"Stockholms län"
13930,Värmdö,,,,"Stockholms län"
13932,Värmdö,,,,"Stockholms län"
13933,Värmdö,,,,"Stockholms län"
13934,Värmdö,,,,"Stockholms län"
13935,Värmdö,,,,"Stockholms län"
13936,Värmdö,,,,"Stockholms län"
13940,Värmdö,,,,"Stockholms län"
13941,Värmdö,,,,"Stockholms län"
13950,Värmdö,,,,"Stockholms län"
13951,Värmdö,,,,"Stockholms län"
13952,Värmdö,,,,"Stockholms län"
13953,Värmdö,,,,"Stockholms län"
13954,Värmdö,,,,"Stockholms län"
13955,Värmdö,,,,"Stockholms län"
13956,Värmdö,,,,"Stockholms län"
13960,Värmdö,,,,"Stockholms län"
13970,Stavsnäs,,,,"Stockholms län"
13971,Stavsnäs,,,,"Stockholms län"
13972,Djurhamn,,,,"Stockholms län"
13973,Djurhamn,,,,"Stockholms län"
13974,Djurhamn,,,,"Stockholms län"
13975,Djurhamn,,,,"Stockholms län"
13990,Värmdö,,,,"Stockholms län"
17500,Järfälla,,,,"Stockholms län"
17504,Järfälla,,,,"Stockholms län"
17506,Järfälla,,,,"Stockholms län"
17508,Järfälla,,,,"Stockholms län"
17514,Järfälla,,,,"Stockholms län"
17515,Järfälla,,,,"Stockholms län"
17516,Järfälla,,,,"Stockholms län"
17517,Järfälla,,,,"Stockholms län"
17518,Järfälla,,,,"Stockholms län"
17519,Järfälla,,,,"Stockholms län"
17526,Järfälla,,,,"Stockholms län"
17527,Järfälla,,,,"Stockholms län"
17529,Järfälla,,,,"Stockholms län"
17541,Järfälla,,,,"Stockholms län"
17543,Järfälla,,,,"Stockholms län"
17544,Järfälla,,,,"Stockholms län"
17545,Järfälla,,,,"Stockholms län"
17546,Järfälla,,,,"Stockholms län"
17547,Järfälla,,,,"Stockholms län"
17548,Järfälla,,,,"Stockholms län"
17549,Järfälla,,,,"Stockholms län"
17550,Järfälla,,,,"Stockholms län"
17551,Järfälla,,,,"Stockholms län"
17552,Järfälla,,,,"Stockholms län"
17553,Järfälla,,,,"Stockholms län"
17554,Järfälla,,,,"Stockholms län"
17555,Järfälla,,,,"Stockholms län"
17556,Järfälla,,,,"Stockholms län"
17557,Järfälla,,,,"Stockholms län"
17560,Järfälla,,,,"Stockholms län"
17561,Järfälla,,,,"Stockholms län"
17562,Järfälla,,,,"Stockholms län"
17563,Järfälla,,,,"Stockholms län"
17564,Järfälla,,,,"Stockholms län"
17565,Järfälla,,,,"Stockholms län"
17566,Järfälla,,,,"Stockholms län"
17567,Järfälla,,,,"Stockholms län"
17568,Järfälla,,,,"Stockholms län"
17569,Järfälla,,,,"Stockholms län"
17579,Järfälla,,,,"Stockholms län"
17580,Järfälla,,,,"Stockholms län"
17581,Järfälla,,,,"Stockholms län"
17584,Järfälla,,,,"Stockholms län"
17588,Järfälla,,,,"Stockholms län"
17589,Järfälla,,,,"Stockholms län"
17600,Järfälla,,,,"Stockholms län"
17602,Järfälla,,,,"Stockholms län"
17627,Järfälla,,,,"Stockholms län"
17668,Järfälla,,,,"Stockholms län"
17669,Järfälla,,,,"Stockholms län"
17670,Järfälla,,,,"Stockholms län"
17671,Järfälla,,,,"Stockholms län"
17672,Järfälla,,,,"Stockholms län"
17673,Järfälla,,,,"Stockholms län"
17674,Järfälla,,,,"Stockholms län"
17675,Järfälla,,,,"Stockholms län"
17676,Järfälla,,,,"Stockholms län"
17677,Järfälla,,,,"Stockholms län"
17680,Järfälla,,,,"Stockholms län"
17710,Järfälla,,,,"Stockholms län"
17721,Järfälla,,,,"Stockholms län"
17722,Järfälla,,,,"Stockholms län"
17723,Järfälla,,,,"Stockholms län"
17724,Järfälla,,,,"Stockholms län"
17725,Järfälla,,,,"Stockholms län"
17728,Järfälla,,,,"Stockholms län"
17730,Järfälla,,,,"Stockholms län"
17731,Järfälla,,,,"Stockholms län"
17732,Järfälla,,,,"Stockholms län"
17733,Järfälla,,,,"Stockholms län"
17734,Järfälla,,,,"Stockholms län"
17735,Järfälla,,,,"Stockholms län"
17736,Järfälla,,,,"Stockholms län"
17737,Järfälla,,,,"Stockholms län"
17738,Järfälla,,,,"Stockholms län"
17739,Järfälla,,,,"Stockholms län"
17740,Järfälla,,,,"Stockholms län"
17741,Järfälla,,,,"Stockholms län"
17742,Järfälla,,,,"Stockholms län"
17743,Järfälla,,,,"Stockholms län"
17744,Järfälla,,,,"Stockholms län"
17745,Järfalla,,,,"Stockholms län"
17747,Järfälla,,,,"Stockholms län"
17750,Järfälla,,,,"Stockholms län"
17751,Järfälla,,,,"Stockholms län"
17752,Järfälla,,,,"Stockholms län"
17753,Järfälla,,,,"Stockholms län"
17754,Järfälla,,,,"Stockholms län"
17755,Järfälla,,,,"Stockholms län"
17756,Järfälla,,,,"Stockholms län"
17757,Järfälla,,,,"Stockholms län"
17758,Järfälla,,,,"Stockholms län"
17759,Järfälla,,,,"Stockholms län"
17760,Järfälla,,,,"Stockholms län"
17761,Järfälla,,,,"Stockholms län"
17762,Järfälla,,,,"Stockholms län"
17763,Järfälla,,,,"Stockholms län"
17764,Järfälla,,,,"Stockholms län"
17765,Järfälla,,,,"Stockholms län"
17770,Järfälla,,,,"Stockholms län"
17771,Järfälla,,,,"Stockholms län"
17780,Järfälla,,,,"Stockholms län"
17781,Järfälla,,,,"Stockholms län"
17800,Ekerö,,,,"Stockholms län"
17802,Drottningholm,,,,"Stockholms län"
17821,Ekerö,,,,"Stockholms län"
17822,Ekerö,,,,"Stockholms län"
17823,Ekerö,,,,"Stockholms län"
17824,Ekerö,,,,"Stockholms län"
17830,Ekerö,,,,"Stockholms län"
17831,Ekerö,,,,"Stockholms län"
17832,Ekerö,,,,"Stockholms län"
17833,Ekerö,,,,"Stockholms län"
17834,Ekerö,,,,"Stockholms län"
17835,Ekerö,,,,"Stockholms län"
17836,Ekerö,,,,"Stockholms län"
17837,Ekerö,,,,"Stockholms län"
17838,Ekerö,,,,"Stockholms län"
17839,Ekerö,,,,"Stockholms län"
17840,Ekerö,,,,"Stockholms län"
17841,Ekerö,,,,"Stockholms län"
17851,Ekerö,,,,"Stockholms län"
17852,Ekerö,,,,"Stockholms län"
17853,Ekerö,,,,"Stockholms län"
17854,Ekerö,,,,"Stockholms län"
17890,Ekerö,,,,"Stockholms län"
17891,Munsö,,,,"Stockholms län"
17892,Adelsö,,,,"Stockholms län"
17893,Drottningholm,,,,"Stockholms län"
17903,Stenhamra,,,,"Stockholms län"
17904,Färentuna,,,,"Stockholms län"
17905,Svartsjö,,,,"Stockholms län"
17960,Stenhamra,,,,"Stockholms län"
17961,Stenhamra,,,,"Stockholms län"
17962,Stenhamra,,,,"Stockholms län"
17963,Stenhamra,,,,"Stockholms län"
17965,Stenhamra,,,,"Stockholms län"
17975,Skå,,,,"Stockholms län"
17995,Svartsjö,,,,"Stockholms län"
17996,Svartsjö,,,,"Stockholms län"
17997,Färentuna,,,,"Stockholms län"
17998,Färentuna,,,,"Stockholms län"
12755,Skärholmen,,,,"Stockholms län"
12784,Skärholmen,,,,"Stockholms län"
14100,Huddinge,,,,"Stockholms län"
14101,Huddinge,,,,"Stockholms län"
14102,Huddinge,,,,"Stockholms län"
14104,Huddinge,,,,"Stockholms län"
14105,Huddinge,,,,"Stockholms län"
14106,"Kungens Kurva",,,,"Stockholms län"
14107,Huddinge,,,,"Stockholms län"
14108,"Kungens Kurva",,,,"Stockholms län"
14109,Huddinge,,,,"Stockholms län"
14112,Huddinge,,,,"Stockholms län"
14116,Segeltorp,,,,"Stockholms län"
14117,Segeltorp,,,,"Stockholms län"
14118,Huddinge,,,,"Stockholms län"
14119,Segeltorp,,,,"Stockholms län"
14121,Huddinge,,,,"Stockholms län"
14122,Huddinge,,,,"Stockholms län"
14123,Huddinge,,,,"Stockholms län"
14124,Huddinge,,,,"Stockholms län"
14125,Huddinge,,,,"Stockholms län"
14126,Huddinge,,,,"Stockholms län"
14127,Huddinge,,,,"Stockholms län"
14128,Huddinge,,,,"Stockholms län"
14130,Huddinge,,,,"Stockholms län"
14131,Huddinge,,,,"Stockholms län"
14132,Huddinge,,,,"Stockholms län"
14133,Huddinge,,,,"Stockholms län"
14134,Huddinge,,,,"Stockholms län"
14135,Huddinge,,,,"Stockholms län"
14136,Huddinge,,,,"Stockholms län"
14137,Huddinge,,,,"Stockholms län"
14138,Huddinge,,,,"Stockholms län"
14139,Huddinge,,,,"Stockholms län"
14140,Huddinge,,,,"Stockholms län"
14141,Huddinge,,,,"Stockholms län"
14142,Huddinge,,,,"Stockholms län"
14143,Huddinge,,,,"Stockholms län"
14144,Huddinge,,,,"Stockholms län"
14145,Huddinge,,,,"Stockholms län"
14146,Huddinge,,,,"Stockholms län"
14147,Huddinge,,,,"Stockholms län"
14148,Huddinge,,,,"Stockholms län"
14149,Huddinge,,,,"Stockholms län"
14150,Huddinge,,,,"Stockholms län"
14151,Huddinge,,,,"Stockholms län"
14152,Huddinge,,,,"Stockholms län"
14153,Huddinge,,,,"Stockholms län"
14154,Huddinge,,,,"Stockholms län"
14155,Huddinge,,,,"Stockholms län"
14156,Huddinge,,,,"Stockholms län"
14157,Huddinge,,,,"Stockholms län"
14158,Huddinge,,,,"Stockholms län"
14159,Huddinge,,,,"Stockholms län"
14160,Huddinge,,,,"Stockholms län"
14161,Huddinge,,,,"Stockholms län"
14162,Huddinge,,,,"Stockholms län"
14163,Huddinge,,,,"Stockholms län"
14168,Huddinge,,,,"Stockholms län"
14169,Huddinge,,,,"Stockholms län"
14170,Segeltorp,,,,"Stockholms län"
14171,Segeltorp,,,,"Stockholms län"
14172,Segeltorp,,,,"Stockholms län"
14173,Segeltorp,,,,"Stockholms län"
14174,Segeltorp,,,,"Stockholms län"
14175,"Kungens Kurva",,,,"Stockholms län"
14181,Huddinge,,,,"Stockholms län"
14183,Huddinge,,,,"Stockholms län"
14184,Huddinge,,,,"Stockholms län"
14185,Huddinge,,,,"Stockholms län"
14187,Huddinge,,,,"Stockholms län"
14188,Huddinge,,,,"Stockholms län"
14189,Huddinge,,,,"Stockholms län"
14191,Huddinge,,,,"Stockholms län"
14192,Huddinge,,,,"Stockholms län"
14200,Skogås,,,,"Stockholms län"
14202,Trångsund,,,,"Stockholms län"
14221,Skogås,,,,"Stockholms län"
14222,Skogås,,,,"Stockholms län"
14225,Skogås,,,,"Stockholms län"
14229,Trångsund,,,,"Stockholms län"
14230,Skogås,,,,"Stockholms län"
14231,Skogås,,,,"Stockholms län"
14232,Skogås,,,,"Stockholms län"
14233,Skogås,,,,"Stockholms län"
14234,Skogås,,,,"Stockholms län"
14235,Skogås,,,,"Stockholms län"
14240,Skogås,,,,"Stockholms län"
14241,Skogås,,,,"Stockholms län"
14242,Skogås,,,,"Stockholms län"
14243,Skogås,,,,"Stockholms län"
14250,Skogås,,,,"Stockholms län"
14251,Skogås,,,,"Stockholms län"
14252,Skogås,,,,"Stockholms län"
14253,Skogås,,,,"Stockholms län"
14260,Trångsund,,,,"Stockholms län"
14261,Trångsund,,,,"Stockholms län"
14262,Trångsund,,,,"Stockholms län"
14263,Trångsund,,,,"Stockholms län"
14264,Trångsund,,,,"Stockholms län"
14265,Trångsund,,,,"Stockholms län"
14266,Trångsund,,,,"Stockholms län"
14281,Skogås,,,,"Stockholms län"
14282,Trångsund,,,,"Stockholms län"
14291,Skogås,,,,"Stockholms län"
14300,Vårby,,,,"Stockholms län"
14301,Vårby,,,,"Stockholms län"
14303,Vårby,,,,"Stockholms län"
14330,Vårby,,,,"Stockholms län"
14331,Vårby,,,,"Stockholms län"
14332,Vårby,,,,"Stockholms län"
14335,Vårby,,,,"Stockholms län"
14340,Vårby,,,,"Stockholms län"
14341,Vårby,,,,"Stockholms län"
14342,Vårby,,,,"Stockholms län"
14343,Vårby,,,,"Stockholms län"
14344,Vårby,,,,"Stockholms län"
14345,Vårby,,,,"Stockholms län"
14347,Vårby,,,,"Stockholms län"
14500,Norsborg,,,,"Stockholms län"
14501,Norsborg,,,,"Stockholms län"
14502,Norsborg,,,,"Stockholms län"
14503,Norsborg,,,,"Stockholms län"
14504,Norsborg,,,,"Stockholms län"
14505,Norsborg,,,,"Stockholms län"
14550,Norsborg,,,,"Stockholms län"
14551,Norsborg,,,,"Stockholms län"
14552,Norsborg,,,,"Stockholms län"
14553,Norsborg,,,,"Stockholms län"
14556,Norsborg,,,,"Stockholms län"
14557,Norsborg,,,,"Stockholms län"
14558,Norsborg,,,,"Stockholms län"
14559,Norsborg,,,,"Stockholms län"
14560,Norsborg,,,,"Stockholms län"
14563,Norsborg,,,,"Stockholms län"
14564,Norsborg,,,,"Stockholms län"
14565,Norsborg,,,,"Stockholms län"
14567,Norsborg,,,,"Stockholms län"
14568,Norsborg,,,,"Stockholms län"
14569,Norsborg,,,,"Stockholms län"
14570,Norsborg,,,,"Stockholms län"
14571,Norsborg,,,,"Stockholms län"
14572,Norsborg,,,,"Stockholms län"
14573,Norsborg,,,,"Stockholms län"
14574,Norsborg,,,,"Stockholms län"
14575,Norsborg,,,,"Stockholms län"
14576,Norsborg,,,,"Stockholms län"
14581,Norsborg,,,,"Stockholms län"
14583,Norsborg,,,,"Stockholms län"
14588,Norsborg,,,,"Stockholms län"
14590,Norsborg,,,,"Stockholms län"
14600,Tullinge,,,,"Stockholms län"
14621,Tullinge,,,,"Stockholms län"
14622,Tullinge,,,,"Stockholms län"
14630,Tullinge,,,,"Stockholms län"
14631,Tullinge,,,,"Stockholms län"
14632,Tullinge,,,,"Stockholms län"
14633,Tullinge,,,,"Stockholms län"
14634,Tullinge,,,,"Stockholms län"
14636,Tullinge,,,,"Stockholms län"
14637,Tullinge,,,,"Stockholms län"
14638,Tullinge,,,,"Stockholms län"
14640,Tullinge,,,,"Stockholms län"
14641,Tullinge,,,,"Stockholms län"
14645,Tullinge,,,,"Stockholms län"
14646,Tullinge,,,,"Stockholms län"
14648,Tullinge,,,,"Stockholms län"
14649,Tullinge,,,,"Stockholms län"
14650,Tullinge,,,,"Stockholms län"
14652,Tullinge,,,,"Stockholms län"
14653,Tullinge,,,,"Stockholms län"
14654,Tullinge,,,,"Stockholms län"
14680,Tullinge,,,,"Stockholms län"
14700,Tumba,,,,"Stockholms län"
14701,Tumba,,,,"Stockholms län"
14707,Grödinge,,,,"Stockholms län"
14721,Tumba,,,,"Stockholms län"
14722,Tumba,,,,"Stockholms län"
14723,Tumba,,,,"Stockholms län"
14725,Tumba,,,,"Stockholms län"
14730,Tumba,,,,"Stockholms län"
14731,Tumba,,,,"Stockholms län"
14732,Tumba,,,,"Stockholms län"
14733,Tumba,,,,"Stockholms län"
14734,Tumba,,,,"Stockholms län"
14735,Tumba,,,,"Stockholms län"
14739,Tumba,,,,"Stockholms län"
14740,Tumba,,,,"Stockholms län"
14741,Tumba,,,,"Stockholms län"
14742,Tumba,,,,"Stockholms län"
14743,Tumba,,,,"Stockholms län"
14744,Tumba,,,,"Stockholms län"
14746,Tumba,,,,"Stockholms län"
14750,Tumba,,,,"Stockholms län"
14751,Tumba,,,,"Stockholms län"
14752,Tumba,,,,"Stockholms län"
14753,Tumba,,,,"Stockholms län"
14754,Tumba,,,,"Stockholms län"
14755,Tumba,,,,"Stockholms län"
14760,Uttran,,,,"Stockholms län"
14761,Uttran,,,,"Stockholms län"
14762,Uttran,,,,"Stockholms län"
14763,Uttran,,,,"Stockholms län"
14770,Grödinge,,,,"Stockholms län"
14771,Grödinge,,,,"Stockholms län"
14780,Tumba,,,,"Stockholms län"
14782,Tumba,,,,"Stockholms län"
14785,Tumba,,,,"Stockholms län"
14792,Grödinge,,,,"Stockholms län"
14400,Rönninge,,,,"Stockholms län"
14402,Rönninge,,,,"Stockholms län"
14421,Rönninge,,,,"Stockholms län"
14424,Rönninge,,,,"Stockholms län"
14430,Rönninge,,,,"Stockholms län"
14431,Rönninge,,,,"Stockholms län"
14432,Rönninge,,,,"Stockholms län"
14433,Rönninge,,,,"Stockholms län"
14437,Rönninge,,,,"Stockholms län"
14440,Rönninge,,,,"Stockholms län"
14442,Rönninge,,,,"Stockholms län"
14444,Rönninge,,,,"Stockholms län"
14451,Rönninge,,,,"Stockholms län"
14461,Rönninge,,,,"Stockholms län"
14462,Rönninge,,,,"Stockholms län"
14463,Rönninge,,,,"Stockholms län"
14464,Rönninge,,,,"Stockholms län"
14480,Rönninge,,,,"Stockholms län"
13054,Dalarö,,,,"Stockholms län"
13055,Ornö,,,,"Stockholms län"
13056,Utö,,,,"Stockholms län"
13061,Hårsfjärden,,,,"Stockholms län"
13600,Haninge,,,,"Stockholms län"
13602,Haninge,,,,"Stockholms län"
13603,Haninge,,,,"Stockholms län"
13611,Haninge,,,,"Stockholms län"
13618,Haninge,,,,"Stockholms län"
13621,Haninge,,,,"Stockholms län"
13622,Haninge,,,,"Stockholms län"
13623,Haninge,,,,"Stockholms län"
13625,Haninge,,,,"Stockholms län"
13626,Haninge,,,,"Stockholms län"
13627,Haninge,,,,"Stockholms län"
13635,Handen,,,,"Stockholms län"
13639,Haninge,,,,"Stockholms län"
13640,Haninge,,,,"Stockholms län"
13641,Haninge,,,,"Stockholms län"
13642,Haninge,,,,"Stockholms län"
13643,Haninge,,,,"Stockholms län"
13644,Haninge,,,,"Stockholms län"
13645,Haninge,,,,"Stockholms län"
13646,Haninge,,,,"Stockholms län"
13647,Haninge,,,,"Stockholms län"
13648,Haninge,,,,"Stockholms län"
13649,Haninge,,,,"Stockholms län"
13650,Haninge,,,,"Stockholms län"
13651,Haninge,,,,"Stockholms län"
13652,Haninge,,,,"Stockholms län"
13653,Haninge,,,,"Stockholms län"
13654,Haninge,,,,"Stockholms län"
13655,Vega,,,,"Stockholms län"
13656,Vega,,,,"Stockholms län"
13657,Vega,,,,"Stockholms län"
13658,Vega,,,,"Stockholms län"
13659,Haninge,,,,"Stockholms län"
13660,Haninge,,,,"Stockholms län"
13661,Haninge,,,,"Stockholms län"
13662,Haninge,,,,"Stockholms län"
13663,Haninge,,,,"Stockholms län"
13664,Haninge,,,,"Stockholms län"
13665,Haninge,,,,"Stockholms län"
13666,Haninge,,,,"Stockholms län"
13667,Haninge,,,,"Stockholms län"
13668,Haninge,,,,"Stockholms län"
13669,Haninge,,,,"Stockholms län"
13670,Haninge,,,,"Stockholms län"
13671,Haninge,,,,"Stockholms län"
13672,Haninge,,,,"Stockholms län"
13673,Haninge,,,,"Stockholms län"
13674,Norrby,,,,"Stockholms län"
13675,Haninge,,,,"Stockholms län"
13676,Brandbergen,,,,"Stockholms län"
13680,Haninge,,,,"Stockholms län"
13681,Haninge,,,,"Stockholms län"
13682,Haninge,,,,"Stockholms län"
13683,Haninge,,,,"Stockholms län"
13687,Haninge,,,,"Stockholms län"
13689,Haninge,,,,"Stockholms län"
13691,Haninge,,,,"Stockholms län"
13700,Västerhaninge,,,,"Stockholms län"
13701,Västerhaninge,,,,"Stockholms län"
13702,Tungelsta,,,,"Stockholms län"
13721,Västerhaninge,,,,"Stockholms län"
13722,Västerhaninge,,,,"Stockholms län"
13723,Västerhaninge,,,,"Stockholms län"
13724,Västerhaninge,,,,"Stockholms län"
13725,Dalarö,,,,"Stockholms län"
13731,Västerhaninge,,,,"Stockholms län"
13732,Västerhaninge,,,,"Stockholms län"
13734,Västerhaninge,,,,"Stockholms län"
13736,Västerhaninge,,,,"Stockholms län"
13737,Västerhaninge,,,,"Stockholms län"
13738,Västerhaninge,,,,"Stockholms län"
13739,Västerhaninge,,,,"Stockholms län"
13740,Västerhaninge,,,,"Stockholms län"
13741,Västerhaninge,,,,"Stockholms län"
13743,Västerhaninge,,,,"Stockholms län"
